company,fy,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,sales,operating_profit,other_income,interest,depreciation,pbt,net_profit,eps,cfo,fcf,debtor_days,inventory_days,payable_days,roce_pct,ebitda,ebit,total_equity,total_debt,net_debt,current_assets_proxy,current_liabilities_proxy,current_ratio_proxy,receivables_est,inventory_est,quick_assets_proxy,quick_ratio_proxy,debt_to_equity,debt_to_assets,debt_to_ebitda,net_debt_to_ebitda,interest_coverage_ebit,interest_coverage_ebitda,roa_pct,roe_pct,ebit_margin_pct,ebitda_margin_pct,cfo_to_pat,cfo_to_debt,fcf_to_debt,payable_est,cash_conversion_cycle,cash_conversion_cycle_partial
ONGC,2021,6290,214691,133187,187580,541748,243746,100309,60320,137372,303849,49473,11271.0,5079,25538,30126.0,21360,12.96,47185,15147,19.0,85.0,51.0,9,49473,23935,220981,133187,133187,137372,187580,0.7323382023669901,15816.797260273974,70759.35616438356,66612.64383561644,0.35511591766508394,0.6027079251157339,0.24584677746849087,2.6921148909506196,2.6921148909506196,4.7125418389446745,9.740696987595983,3.9427925899126532,9.665989383702671,7.877267985084696,16.28210064867747,2.2090355805243447,0.35427631825928957,0.1137273157290126,42455.61369863014,53.0,104.0
ONGC,2022,6290,253213,121986,201771,583260,254402,106719,66642,155496,491246,79874,6797.0,5696,26883,54091.0,49294,36.19,78248,45158,14.0,90.0,66.0,16,79874,52991,259503,121986,121986,155496,201771,0.7706558425145338,18842.312328767126,121129.1506849315,34366.849315068495,0.17032600975892717,0.4700754904567577,0.20914514967595926,1.5272303878608808,1.5272303878608808,9.3031952247191,14.022823033707866,8.451462469567602,18.995541477362497,10.787059843744276,16.259470815029538,1.5873737168823792,0.6414506582722608,0.370190021805781,88828.04383561644,38.0,104.0
ONGC,2023,6290,274357,142255,190212,613115,250819,113945,78873,169478,632291,75527,-30.0,7889,24557,43051.0,32778,28.17,84211,47758,11.0,61.0,46.0,14,75527,50970,280647,142255,142255,169478,190212,0.8909953104956575,19055.345205479454,105670.55068493151,63807.44931506849,0.3354543841349047,0.5068823112308345,0.23202009410958793,1.883498616388841,1.883498616388841,6.460894916973,9.573710229433388,5.346142240852043,11.679440720905623,8.06116171193327,11.944974703103476,2.569131734700104,0.5919721626656357,0.3357210642859653,79685.98904109589,26.0,72.0
ONGC,2024,6290,332779,191195,206357,736621,317183,118729,100862,199847,601581,102383,14712.0,13026,30440,73629.0,55273,39.06,98847,60965,12.0,87.0,61.0,18,102383,71943,339069,191195,191195,199847,206357,0.9684527299776601,19778.00547945205,143390.5397260274,56456.460273972596,0.2735863589506176,0.5638822776485022,0.2595568141554476,1.8674486975376772,1.8674486975376772,5.523030861354215,7.8598955934285275,7.5035873264541735,16.30140177957879,11.958988066444917,17.018988299165034,1.7883415048938904,0.5169957373362274,0.31886294097649,100538.19452054794,38.0,99.0
ONGC,2025,6290,337150,187817,221401,752658,340175,112614,95617,204252,612064,88857,13282.0,14535,35206,52398.0,38329,28.8,90856,50143,13.0,99.0,64.0,12,88857,53651,343440,187817,187817,204252,221401,0.9225432586122014,21799.539726027397,166011.8794520548,38240.120547945204,0.17271882488310894,0.5468699044956906,0.24953830292111423,2.113699539709871,2.113699539709871,3.691159270725834,6.113312693498452,5.092485564492771,11.1603191241556,8.76558660532232,14.517599466722434,2.3704244827676173,0.4837474775978745,0.26697796259124573,107320.81095890411,48.0,112.0
IOC,2021,9181,102657,116649,126658,355145,157085,36291,44717,117053,363950,39929,4696.0,2933,10941,30751.0,21762,15.32,49650,27904,14.0,111.0,,15,39929,28988,111838,116649,116649,117053,126658,0.9241658639801671,13959.72602739726,110680.68493150685,6372.315068493146,0.05031119288551174,1.043017578998194,0.3284545748919455,2.921410503643968,2.921410503643968,9.883395840436414,13.613706102966246,6.12763800701122,19.458502476796795,7.964830333837066,10.971012501717269,2.2814998621450235,0.4256358820049893,0.23921336659551304,,,125.0
IOC,2022,9181,124354,132020,145327,410882,160514,47469,52352,150546,589336,46619,4318.0,4301,12348,34289.0,25727,17.78,24570,1533,12.0,84.0,,16,46619,34271,133535,132020,132020,150546,145327,1.0359121154362232,19375.4301369863,135628.0109589041,14917.98904109589,0.10265118691706214,0.9886546598270116,0.3213087942523644,2.831892575988331,2.831892575988331,7.968146942571495,10.839107184375727,6.261408384889092,19.266110008611975,5.8151886190560225,7.91042800711309,0.9550277918140475,0.1861081654294804,0.011611876988335101,,,96.0
IOC,2023,13772,125949,148977,153298,441995,180048,51133,52190,158624,841756,30683,5124.0,7588,13181,15038.0,11704,6.93,29644,-2524,7.0,59.0,,8,30683,17502,139721,148977,148977,158624,153298,1.0347427885556237,16143.26575342466,136064.66849315068,22559.331506849325,0.14715998582401157,1.0662463051366653,0.3370558490480662,4.855359645406251,4.855359645406251,2.3065366367949394,4.043621507643648,2.6479937555854702,8.37669355358178,2.079224858510067,3.6451180627165116,2.5328092959671906,0.19898373574444378,-0.016942212556300636,,,66.0
IOC,2024,13772,169645,132628,166639,482683,195998,61032,65542,160111,776352,75650,5384.0,7881,15866,57288.0,43161,29.55,71146,34453,6.0,70.0,,21,75650,59784,183417,132628,132628,160111,166639,0.9608254970325074,12761.950684931506,148889.42465753423,11221.575342465774,0.06734063059947416,0.7230954600718581,0.2747724697161491,1.753179114342366,1.753179114342366,7.585839360487248,9.599035655373683,8.941893540895371,23.53162465856491,7.7006306417707435,9.7442912493302,1.6483862746460924,0.5364327291371355,0.25977169225201313,,,76.0
IOC,2025,13772,172716,152271,168796,507554,201142,77921,67218,161272,758106,36040,7112.0,9311,16777,17063.0,13789,9.63,34452,83,9.0,63.0,,7,36040,19263,186488,152271,152271,161272,168796,0.955425484016209,18693.024657534246,130851.17260273974,30420.827397260262,0.1802224424587091,0.8165190253528377,0.30000945712180377,4.225055493895671,4.225055493895671,2.0688433036193747,3.8706905810331866,2.71675526150912,7.3940414396636776,2.5409375469921094,4.753952613486769,2.4985133077090436,0.22625450676753944,0.0005450808098718732,,,72.0
