company,2021,2022,2023,2024,2025,change_fy21_fy25,slope_per_year,trend_classification
BPCL,5.5188976251295445,4.780432586599733,4.482555107591532,6.188640149075938,5.611413503875711,0.09251587874616618,0.15932393199679784,Improving
GAIL,7.105504393235995,8.01067385000665,6.851970567371513,7.255678418860494,7.488510974187867,0.38300658095187234,0.001101773075779388,Stable
HPCL,4.71096795660716,4.069277352338209,3.046547138509794,4.5686673513320395,4.479848994871236,-0.23111896173592417,0.003715207552173439,Stable
IOC,5.046054762498518,5.386018796956946,5.009442779892613,5.782903355114605,5.127024327010864,0.08096956451234583,0.05588236871822603,Stable
OIL,5.8482391829738365,6.555111990360864,7.172421702877243,6.633052380873829,5.9892123201246115,0.14097313715077497,0.03598866648146152,Stable
ONGC,4.954206141622128,5.596962226764999,5.931938203986895,6.216630221951938,5.921074038828449,0.9668678972063205,0.2553403789599292,Improving
RELIANCE,6.162287391493153,6.00248183342087,5.6072818267047,5.2566179129249955,4.86063483713505,-1.3016525543581023,-0.3349169029211589,Deteriorating
