company,period,E,sigma_E,D,r,T,V,sigma_V,d1,d2,dd_risk_neutral,pd_risk_neutral,mu_physical,dd_physical,pd_physical,converged,residual_norm,solver_message
ONGC,current_FY2025_debt,297398,0.23629999999999998,187817,0.0676,1.0,472938.2014049911,0.14859266430956383,6.7441857754292025,6.595593111119639,6.595593111119639,2.1177955311743413e-11,0.1376,7.066679623534335,7.934236556031068e-13,True,0.0,The solution converged.
IOC,current_FY2025_debt,196850,0.2693,152271,0.0676,1.0,339167.692184914,0.15629939610174484,5.634363258894694,5.478063862792949,5.478063862792949,2.150024737170403e-08,0.1376,5.925922279049609,1.5527472469077941e-09,True,0.0,The solution converged.
BPCL,current_FY2025_debt,138594,0.2958,61101,0.0676,1.0,195701.0874557522,0.20948327767380315,5.9842572362470365,5.774773958573233,5.774773958573233,3.852823003080651e-09,0.1376,6.108929509208643,5.015080667783209e-10,True,0.0,The solution converged.
HPCL,current_FY2025_debt,79474,0.34990000000000004,70558,0.0676,1.0,145419.8510646427,0.19122751092720144,4.230949788378832,4.039722277451631,4.039722277451631,2.6757265352269852e-05,0.1376,4.405778393857645,5.2702340569798975e-06,True,1.127773430198431e-10,The solution converged.
GAIL,current_FY2025_debt,114998,0.2551,21595,0.0676,1.0,135181.4266831143,0.21701198544655098,8.871874371855398,8.654862386408848,8.654862386408848,2.4675336949554595e-18,0.1376,8.977425215627516,1.3858847257276142e-19,True,1.4999770885397668e-11,The solution converged.
OIL,current_FY2025_debt,76207,0.3094,30645,0.0676,1.0,104848.86666044498,0.22488031200091152,5.882844953352666,5.657964641351754,5.657964641351754,7.658934112386834e-09,0.1376,5.969241335061234,1.1917966081445e-09,True,3.637978807091713e-12,The solution converged.
RELIANCE,current_FY2025_debt,1772762,0.2082,374313,0.0676,1.0,2122607.750962564,0.17388471715163806,10.455354066539481,10.281469349387843,10.281469349387843,4.270767646160172e-25,0.1376,10.684034917809567,6.044996451149821e-27,True,0.0,The solution converged.
