company,driver,shock,dd,converged,base_dd,dd_change_from_base
ONGC,Equity Volatility,-0.5,13.302630720578838,True,6.595593111119639,6.707037609459199
ONGC,Equity Volatility,-0.25,8.837463675321644,True,6.595593111119639,2.2418705642020047
ONGC,Equity Volatility,-0.1,7.34412157142534,True,6.595593111119639,0.7485284603057014
ONGC,Equity Volatility,0.0,6.595593111119639,True,6.595593111119639,0.0
ONGC,Equity Volatility,0.1,5.981809889621102,True,6.595593111119639,-0.6137832214985366
ONGC,Equity Volatility,0.25,5.243040975254731,True,6.595593111119639,-1.352552135864908
ONGC,Equity Volatility,0.5,4.335135596250648,True,6.595593111119639,-2.2604575148689907
ONGC,Debt,-0.5,8.014737389790389,True,6.595593111119639,1.4191442786707498
ONGC,Debt,-0.25,7.1309125769224995,True,6.595593111119639,0.5353194658028606
ONGC,Debt,-0.1,6.78280552095773,True,6.595593111119639,0.18721240983809118
ONGC,Debt,0.0,6.595593111119639,True,6.595593111119639,0.0
ONGC,Debt,0.1,6.434960590208477,True,6.595593111119639,-0.16063252091116187
ONGC,Debt,0.25,6.232347152484368,True,6.595593111119639,-0.36324595863527076
ONGC,Debt,0.5,5.968217394016855,True,6.595593111119639,-0.6273757171027841
ONGC,Equity Value,-0.5,5.608059724691493,True,6.595593111119639,-0.9875333864281455
ONGC,Equity Value,-0.25,6.135553461098337,True,6.595593111119639,-0.46003965002130176
ONGC,Equity Value,-0.1,6.4185011761630415,True,6.595593111119639,-0.17709193495659736
ONGC,Equity Value,0.0,6.595593111119639,True,6.595593111119639,0.0
ONGC,Equity Value,0.1,6.764507946095952,True,6.595593111119639,0.168914834976313
ONGC,Equity Value,0.25,7.004178642657631,True,6.595593111119639,0.4085855315379918
ONGC,Equity Value,0.5,7.372123213654639,True,6.595593111119639,0.7765301025350002
ONGC,Risk-Free Rate,-0.02,6.561201925108958,True,6.595593111119639,-0.03439118601068092
ONGC,Risk-Free Rate,-0.01,6.578351965605636,True,6.595593111119639,-0.01724114551400291
ONGC,Risk-Free Rate,0.0,6.595593111119639,True,6.595593111119639,0.0
ONGC,Risk-Free Rate,0.01,6.612925457276788,True,6.595593111119639,0.017332346157148848
ONGC,Risk-Free Rate,0.02,6.630349096201672,True,6.595593111119639,0.03475598508203337
ONGC,Time Horizon,1.0,6.595593111119639,True,6.595593111119639,0.0
ONGC,Time Horizon,2.0,4.694052438205205,True,6.595593111119639,-1.9015406729144342
ONGC,Time Horizon,3.0,3.8576359277233547,True,6.595593111119639,-2.737957183396284
IOC,Equity Volatility,-0.5,11.073352376292227,True,5.478063862792949,5.595288513499279
IOC,Equity Volatility,-0.25,7.349672543633737,True,5.478063862792949,1.8716086808407884
IOC,Equity Volatility,-0.1,6.103235951529987,True,5.478063862792949,0.6251720887370382
IOC,Equity Volatility,0.0,5.478063862792949,True,5.478063862792949,0.0
IOC,Equity Volatility,0.1,4.965137850866944,True,5.478063862792949,-0.5129260119260044
IOC,Equity Volatility,0.25,4.3472700456511095,True,5.478063862792949,-1.1307938171418392
IOC,Equity Volatility,0.5,3.586632877394738,True,5.478063862792949,-1.8914309853982108
IOC,Debt,-0.5,6.605430790866515,True,5.478063862792949,1.1273669280735659
IOC,Debt,-0.25,5.8988898958061915,True,5.478063862792949,0.42082603301324273
IOC,Debt,-0.1,5.624554468753503,True,5.478063862792949,0.14649060596055463
IOC,Debt,0.0,5.478063862792949,True,5.478063862792949,0.0
IOC,Debt,0.1,5.352994696403069,True,5.478063862792949,-0.12506916638987953
IOC,Debt,0.25,5.196103979144362,True,5.478063862792949,-0.2819598836485868
IOC,Debt,0.5,4.993118589349697,True,5.478063862792949,-0.4849452734432518
IOC,Equity Value,-0.5,4.719380834269888,True,5.478063862792949,-0.7586830285230608
IOC,Equity Value,-0.25,5.121509218098284,True,5.478063862792949,-0.3565546446946648
IOC,Equity Value,-0.1,5.340212971751444,True,5.478063862792949,-0.13785089104150483
IOC,Equity Value,0.0,5.478063862792949,True,5.478063862792949,0.0
IOC,Equity Value,0.1,5.610203511996983,True,5.478063862792949,0.1321396492040341
IOC,Equity Value,0.25,5.798731493308216,True,5.478063862792949,0.3206676305152669
IOC,Equity Value,0.5,6.090365675740104,True,5.478063862792949,0.6123018129471554
IOC,Risk-Free Rate,-0.02,5.4512373021762315,True,5.478063862792949,-0.026826560616717288
IOC,Risk-Free Rate,-0.01,5.464611728464656,True,5.478063862792949,-0.013452134328292509
