company,structural_score,accounting_score,debt_service_score,liquidity_score,cash_flow_score,energy_credit_score,rank
GAIL,86.54862386408848,91.88357023543394,91.24261938749027,45.43317157581913,80.28974961135185,84.4,1
RELIANCE,100.0,59.6396912531908,51.31926978593201,30.427547118273697,44.24929327671151,65.6,2
ONGC,65.95593111119639,72.65121520034906,49.09324211256609,46.12716293061007,66.71113751303511,62.7,3
BPCL,57.747739585732326,68.8516994340578,51.80800227508655,50.618593375319506,48.617862228114106,58.3,4
OIL,56.57964641351754,73.48726773159032,60.399327594799715,41.03646046702171,20.94026058783768,57.3,5
IOC,54.78063862792949,62.90827395105355,30.48954750854997,47.771274200810446,28.649297258553126,49.0,6
HPCL,40.39722277451631,54.967472329708414,33.386116833539546,43.5059602830279,38.318222495778556,43.5,7
