company,dd_base,pd_base,dd_bear,pd_bear,debt_to_ebitda_base,debt_to_ebitda_bear,interest_coverage_base,interest_coverage_bear,dd_change
ONGC,6.595593111119639,2.1177955311743413e-11,3.779864344763412,7.845691316682899e-05,2.113699539709871,3.5228325661831184,3.691159270725834,2.162831097351221,-2.815728766356227
IOC,5.478063862792949,2.150024737170403e-08,3.163250245399613,0.0007800907860174019,4.225055493895671,7.041759156492786,2.0688433036193747,1.1011706583610783,-2.3148136173933356
BPCL,5.774773958573233,3.852823003080651e-09,3.228833230617497,0.0006214817757513178,2.4054564780914136,4.009094130152357,5.052631578947368,3.284252297410192,-2.545940727955736
HPCL,4.039722277451631,2.6757265352269852e-05,2.315325156595287,0.010297572011513123,4.289761673151751,7.149602788586251,3.0591381872213965,1.8371471025260029,-1.7243971208563438
GAIL,8.654862386408848,2.4675336949554595e-18,4.772506825317649,9.097347028696684e-07,1.4011808980015572,2.335301496669262,15.693243243243243,10.486486486486486,-3.882355561091199
OIL,5.657964641351754,7.658934112386834e-09,3.144873484661848,0.0008307933453073233,2.746459939057179,4.577433231761964,8.269410664172124,5.659962581852199,-2.5130911566899057
RELIANCE,10.281469349387843,4.270767646160172e-25,5.7084207735067976,5.70146172378622e-09,2.260371502071281,3.7672858367854682,4.633977502163254,2.928118175450163,-4.573048575881045
